date,Dubai,Brent,WTI,,
2010-10-13,81.21,84.64,83.01,,
2010-10-14,81.58,84.53,82.69,,
2010-10-15,80.72,82.45,81.25,,
2010-10-18,78.65,84.37,83.08,,
2010-10-19,80.77,81.1,79.49,,
2010-10-20,78.95,83.6,81.77,,
2010-10-21,80.39,81.83,80.56,,
2010-10-22,79.06,82.96,81.69,,
2010-10-25,80.96,83.54,82.52,,
2010-10-26,79.96,83.66,82.55,,
2010-10-27,79.83,83.23,81.94,,
2010-10-28,80.23,83.59,82.18,,
2010-10-29,79.86,83.15,81.43,,
2010-11-01,80.53,84.62,82.95,,
2010-11-02,82.24,85.41,83.9,,
2010-11-03,82.9,86.38,84.69,,
2010-11-04,84.7,88,86.49,,
2010-11-05,,88.11,86.85,,
2010-11-08,85.04,88.46,87.06,,
2010-11-09,85.41,88.33,86.72,,
2010-11-10,85.71,88.96,87.81,,
2010-11-11,86.57,88.81,87.81,,
2010-11-12,84.6,86.34,84.88,,
2010-11-15,84.43,86.7,84.86,,
2010-11-16,83.88,84.73,82.34,,
2010-11-17,,83.28,80.44,,
2010-11-18,81.98,85.05,81.85,,
2010-11-19,82.94,84.34,81.51,,
2010-11-22,83.03,83.96,81.74,,
2010-11-23,81.34,83.25,81.25,,
2010-11-24,81.31,85.84,83.86,,
2010-11-25,83.3,86.1,,,
2010-11-26,83.23,85.58,83.76,,
2010-11-29,83.99,87.34,85.73,,
2010-11-30,84.53,85.92,84.11,,
2010-12-01,84.07,88.87,86.75,,
2010-12-02,86.16,90.69,88,,
2010-12-03,87,91.42,89.19,,
2010-12-06,88.52,91.45,89.38,,
2010-12-07,88.27,91.39,88.69,,
2010-12-08,87.37,90.77,88.28,,
2010-12-09,88.8,90.99,88.37,,
2010-12-10,88.66,90.48,87.79,,
2010-12-13,88.74,91.19,88.61,,
2010-12-14,88.89,91.21,88.28,,
2010-12-15,88.26,92.2,88.62,,
2010-12-16,89.6,91.71,87.7,,
2010-12-17,89.58,91.67,88.02,,
2010-12-20,89.34,92.74,88.81,,
2010-12-21,90.62,93.2,89.82,,
2010-12-22,90.63,93.65,90.48,,
2010-12-23,90.39,94.25,91.51,,
2010-12-24,91.58,93.77,,,
2010-12-27,,93.85,91,,
2010-12-28,90.62,94.38,91.49,,
2010-12-29,90.56,94.14,91.12,,
2010-12-30,90.35,93.09,89.84,,
2010-12-31,88.8,94.75,91.38,,
2011-01-03,,94.84,91.55,,
2011-01-04,91.59,93.53,89.38,,
2011-01-05,89.7,95.5,90.3,,
2011-01-06,92,94.52,88.38,,
2011-01-07,90.35,93.33,88.03,,
2011-01-10,90.32,95.7,89.25,,
2011-01-11,91.82,97.61,91.11,,
2011-01-12,94.23,98.12,91.86,,
2011-01-13,93.85,98.06,91.4,,
2011-01-14,93.23,98.68,91.54,,
2011-01-17,93.01,97.43,,,
2011-01-18,93.29,97.8,91.38,,
2011-01-19,93.46,98.16,90.86,,
2011-01-20,93.17,96.58,88.86,,
2011-01-21,92.53,97.6,89.11,,
2011-01-24,93.21,96.61,87.87,,
2011-01-25,92.01,95.25,86.19,,
2011-01-26,91.9,97.91,87.33,,
2011-01-27,93.33,97.39,85.64,,
2011-01-28,93.44,99.42,89.34,,
2011-01-31,94.57,101.01,92.19,,
2011-02-01,95.71,101.74,90.77,,
2011-02-02,97.11,102.34,90.86,,
2011-02-03,,101.76,90.54,,
2011-02-04,,99.83,89.03,,
2011-02-07,96.06,99.25,87.48,,
2011-02-08,96.07,99.92,86.94,,
2011-02-09,96.83,101.82,86.71,,
2011-02-10,97.92,100.87,86.73,,
2011-02-11,97.94,101.43,85.58,,
2011-02-14,97.23,103.08,84.81,,
2011-02-15,99.29,101.64,84.32,,
2011-02-16,98.03,103.78,84.99,,
2011-02-17,99.56,102.59,86.36,,
2011-02-18,98.96,102.52,86.2,,
2011-02-21,100.36,105.74,,,
2011-02-22,103.72,105.78,93.57,,
2011-02-23,104.33,111.25,98.1,,
2011-02-24,110.77,111.36,97.28,,
2011-02-25,107,112.14,97.88,,
2011-02-28,107.41,111.8,96.97,,
2011-03-01,106.44,115.42,99.63,,
2011-03-02,109.04,116.35,102.23,,
2011-03-03,109.82,114.79,101.91,,
2011-03-04,110.65,115.97,104.42,,
2011-03-07,111.18,115.04,105.44,,
2011-03-08,109.09,113.06,105.02,,
2011-03-09,108.45,115.94,104.38,,
2011-03-10,110.55,115.43,102.7,,
2011-03-11,108.3,113.84,101.16,,
2011-03-14,105.97,113.67,101.19,,
2011-03-15,105.82,108.52,97.18,,
2011-03-16,104.19,110.62,97.98,,
2011-03-17,106.1,114.9,101.42,,
2011-03-18,110.11,113.93,101.07,,
2011-03-21,108.75,114.96,102.33,,
2011-03-22,108.44,115.7,104,,
2011-03-23,109.65,115.55,105.75,,
2011-03-24,109.42,115.72,105.6,,
2011-03-25,109.41,115.59,105.4,,
2011-03-28,108.66,114.8,103.98,,
2011-03-29,107.92,115.16,104.79,,
2011-03-30,108.72,115.13,104.27,,
2011-03-31,109.4,117.36,106.72,,
2011-04-01,111.08,118.7,107.94,,
2011-04-04,112.7,121.06,108.47,,
2011-04-05,113.54,122.22,108.34,,
2011-04-06,115.05,122.3,108.83,,
2011-04-07,115.22,122.67,110.3,,
2011-04-08,116.86,126.65,112.79,,
2011-04-11,118.32,123.98,109.92,,
2011-04-12,116.22,120.92,106.25,,
2011-04-13,113.55,122.88,107.11,,
2011-04-14,115.71,122.36,108.11,,
2011-04-15,114.82,123.45,109.66,,
2011-04-18,115.88,121.61,107.12,,
2011-04-19,113.7,121.33,108.15,,
2011-04-20,115.6,123.85,111.45,,
2011-04-21,117.31,123.99,112.29,,
2011-04-25,117.57,123.66,112.28,,
2011-04-26,117.04,124.14,112.21,,
2011-04-27,117.4,125.13,112.76,,
2011-04-28,119.23,125.02,112.86,,
2011-04-29,118.35,125.89,113.93,,
2011-05-02,,125.12,113.52,,
2011-05-03,117.9,122.45,111.05,,
2011-05-04,114.44,121.19,109.24,,
2011-05-05,114.4,110.8,99.8,,
2011-05-06,100.48,109.13,97.18,,
2011-05-09,105.7,115.9,102.55,,
