,설비용량(MW),공급능력(MW),최대전력(MW),공급예비력(MW),공급예비율(%),Date
100,146804,84577,66552,18025,27.1,2024-04-25
99,146804,82938,65026,17912,27.5,2024-04-26
98,146804,82586,57999,24587,42.4,2024-04-27
97,146804,82956,58003,24953,43.0,2024-04-28
96,146804,82388,67228,15160,22.6,2024-04-29
95,146804,84692,66065,18627,28.2,2024-04-30
94,146769,84183,60711,23472,38.7,2024-05-01
93,146769,85106,66858,18248,27.3,2024-05-02
92,146769,83940,65403,18537,28.3,2024-05-03
91,146769,80783,57871,22912,39.6,2024-05-04
90,146769,79862,57151,22711,39.7,2024-05-05
89,146769,79868,60134,19734,32.8,2024-05-06
88,146769,82553,67765,14788,21.8,2024-05-07
87,146769,83781,65047,18734,28.8,2024-05-08
86,146781,84188,66481,17707,26.6,2024-05-09
85,146781,84637,65342,19295,29.5,2024-05-10
84,146781,81666,60042,21624,36.0,2024-05-11
83,146781,83874,57019,26855,47.1,2024-05-12
82,146781,82781,66062,16719,25.3,2024-05-13
81,146781,82838,66155,16683,25.2,2024-05-14
80,146781,84159,61854,22305,36.1,2024-05-15
79,146781,84251,65411,18840,28.8,2024-05-16
78,147824,84810,64407,20403,31.7,2024-05-17
77,147824,80001,58755,21246,36.2,2024-05-18
76,147824,81405,58903,22502,38.2,2024-05-19
75,147824,81523,68764,12759,18.6,2024-05-20
74,147824,81608,69074,12534,18.1,2024-05-21
73,147999,82015,68837,13178,19.1,2024-05-22
72,147999,82585,69899,12686,18.1,2024-05-23
71,147999,83976,67481,16495,24.4,2024-05-24
70,147999,81428,59700,21728,36.4,2024-05-25
69,147999,81935,59436,22499,37.9,2024-05-26
68,147999,81417,67126,14291,21.3,2024-05-27
67,147999,80711,68694,12017,17.5,2024-05-28
66,148010,81388,68823,12565,18.3,2024-05-29
65,148010,81392,69571,11821,17.0,2024-05-30
64,148010,81185,66428,14757,22.2,2024-05-31
63,148010,80669,59085,21584,36.5,2024-06-01
62,148010,80914,58661,22253,37.9,2024-06-02
61,148010,83320,68493,14827,21.6,2024-06-03
60,148010,82534,69279,13255,19.1,2024-06-04
59,148013,82374,69421,12953,18.7,2024-06-05
58,148013,82299,65329,16970,26.0,2024-06-06
57,148013,81430,67558,13872,20.5,2024-06-07
56,148013,78011,60509,17502,28.9,2024-06-08
55,148013,80290,60934,19356,31.8,2024-06-09
54,148013,83154,72134,11020,15.3,2024-06-10
53,148013,85597,74244,11353,15.3,2024-06-11
52,148084,84347,74251,10096,13.6,2024-06-12
51,148084,85470,76144,9326,12.2,2024-06-13
50,148084,86901,75619,11282,14.9,2024-06-14
49,148084,83230,66114,17116,25.9,2024-06-15
48,148084,81459,63577,17882,28.1,2024-06-16
47,148084,86828,73958,12870,17.4,2024-06-17
46,148084,87447,76826,10621,13.8,2024-06-18
45,148089,89170,80077,9093,11.4,2024-06-19
44,148089,89378,79731,9647,12.1,2024-06-20
43,148089,91016,77749,13267,17.1,2024-06-21
42,148089,84914,68355,16559,24.2,2024-06-22
41,148089,86778,66868,19910,29.8,2024-06-23
40,148089,91515,76628,14887,19.4,2024-06-24
39,148089,91673,73022,18651,25.5,2024-06-25
38,148089,93282,74719,18563,24.8,2024-06-26
37,148089,92041,76144,15897,20.9,2024-06-27
36,148089,89229,74741,14488,19.4,2024-06-28
35,148089,88692,68360,20332,29.7,2024-06-29
34,148709,92841,65856,26985,41.0,2024-06-30
33,148709,95058,78373,16685,21.3,2024-07-01
32,148709,95711,79801,15910,19.9,2024-07-02
31,148897,95509,77555,17954,23.2,2024-07-03
30,148897,95812,81970,13842,16.9,2024-07-04
29,148897,95500,77102,18398,23.9,2024-07-05
28,148897,93120,72015,21105,29.3,2024-07-06
27,148897,93120,70129,22991,32.8,2024-07-07
26,148897,96391,83021,13370,16.1,2024-07-08
25,148897,97233,82246,14987,18.2,2024-07-09
24,148912,97872,80964,16908,20.9,2024-07-10
23,148912,98172,79983,18189,22.7,2024-07-11
22,148912,97623,78463,19160,24.4,2024-07-12
21,148912,96929,71353,25576,35.8,2024-07-13
20,148912,95453,69336,26117,37.7,2024-07-14
19,148912,100094,82759,17335,20.9,2024-07-15
18,148912,98716,83678,15038,18.0,2024-07-16
17,148917,99597,84204,15393,18.3,2024-07-17
16,148917,98615,84567,14048,16.6,2024-07-18
15,148917,96173,82174,13999,17.0,2024-07-19
14,148917,98911,74657,24254,32.5,2024-07-20
13,148917,98147,74740,23407,31.3,2024-07-21
12,148917,100373,86921,13452,15.5,2024-07-22
11,148917,99079,87645,11434,13.0,2024-07-23
10,148932,100266,87552,12714,14.5,2024-07-24
9,148932,99162,90254,8908,9.9,2024-07-25
8,148932,99785,88660,11125,12.5,2024-07-26
7,148932,94695,77483,17212,22.2,2024-07-27
6,148932,95923,76431,19492,25.5,2024-07-28
5,148932,96042,82616,13426,16.3,2024-07-29
4,148932,96704,84530,12174,14.4,2024-07-30
3,149151,96018,84794,11224,13.2,2024-07-31
2,149151,96211,85215,10996,12.9,2024-08-01
1,149151,99899,85301,14598,17.1,2024-08-02
0,149151,96672,80942,15730,19.4,2024-08-03
